Time (CAT);Open;High;Low;Close;Volume 
18/11/2015 00:00:00;1.5211;1.52486;1.51878;1.52352;115585.46
19/11/2015 00:00:00;1.5236;1.53355;1.52272;1.52894;133708.69
20/11/2015 00:00:00;1.52889;1.53095;1.5182;1.51855;120395.22
23/11/2015 00:00:00;1.5181;1.51954;1.51088;1.51224;125706.76
24/11/2015 00:00:00;1.51241;1.51554;1.50533;1.50787;119386.93
25/11/2015 00:00:00;1.50767;1.5136;1.50558;1.51277;121309.03
26/11/2015 00:00:00;1.51287;1.51303;1.5066;1.51006;106471.48
27/11/2015 00:00:00;1.51006;1.51092;1.50297;1.50297;113623.79
30/11/2015 00:00:00;1.50335;1.50682;1.49936;1.50546;105443.97
01/12/2015 00:00:00;1.50543;1.51255;1.50503;1.50805;134124.95
02/12/2015 00:00:00;1.50805;1.50817;1.48946;1.49511;141277.03
03/12/2015 00:00:00;1.49511;1.5159;1.49044;1.51425;198302.03
04/12/2015 00:00:00;1.51425;1.51559;1.50778;1.51032;195001.34
07/12/2015 00:00:00;1.5107;1.51145;1.50443;1.50537;148732.09
08/12/2015 00:00:00;1.50547;1.5061;1.49567;1.50057;163448.44
09/12/2015 00:00:00;1.50057;1.51912;1.5004;1.51798;168546.52
10/12/2015 00:00:00;1.51807;1.52017;1.51108;1.51586;144802.9
11/12/2015 00:00:00;1.51592;1.52398;1.51251;1.52174;133936.39
14/12/2015 00:00:00;1.52308;1.52308;1.51074;1.51407;154695.21
15/12/2015 00:00:00;1.51407;1.51847;1.50292;1.50358;160227.26
16/12/2015 00:00:00;1.50367;1.50985;1.49589;1.5001;172075.21
17/12/2015 00:00:00;1.50007;1.50065;1.48648;1.48955;158001.1
18/12/2015 00:00:00;1.48966;1.49496;1.48847;1.48905;141273.26
21/12/2015 00:00:00;1.49006;1.4929;1.48771;1.48825;122418.58
22/12/2015 00:00:00;1.48812;1.49076;1.48052;1.48255;113259.14
23/12/2015 00:00:00;1.48252;1.49002;1.48187;1.48695;110017.99
24/12/2015 00:00:00;1.48696;1.49449;1.48599;1.49009;83967.42
25/12/2015 00:00:00;1.49046;1.49429;1.48882;1.49266;3282.98
28/12/2015 00:00:00;1.49042;1.49337;1.48738;1.48786;89389.76
29/12/2015 00:00:00;1.48794;1.49133;1.47852;1.48125;101135.37
30/12/2015 00:00:00;1.48124;1.48484;1.47927;1.48127;113167.18
31/12/2015 00:00:00;1.48126;1.48447;1.47266;1.47293;97927.88
01/01/2016 00:00:00;1.47293;1.47293;1.47293;1.47293;0
04/01/2016 00:00:00;1.47336;1.4816;1.4663;1.47121;140037.82
05/01/2016 00:00:00;1.47119;1.47254;1.46381;1.46732;139942.36
06/01/2016 00:00:00;1.46732;1.46811;1.4602;1.46296;161078.63
07/01/2016 00:00:00;1.46296;1.46403;1.45329;1.46164;172395.75
08/01/2016 00:00:00;1.46159;1.46445;1.4506;1.45175;158331.34
11/01/2016 00:00:00;1.45239;1.46042;1.44921;1.45407;151048.25
12/01/2016 00:00:00;1.45402;1.456;1.43518;1.44473;159119.01
13/01/2016 00:00:00;1.44473;1.44757;1.43799;1.44053;163238.14
14/01/2016 00:00:00;1.44054;1.44452;1.43599;1.44109;169866.76
15/01/2016 00:00:00;1.44101;1.44277;1.42485;1.42485;163860.43
18/01/2016 00:00:00;1.42504;1.43231;1.42368;1.42416;137625.76
19/01/2016 00:00:00;1.42415;1.43396;1.41291;1.4157;167480.31
20/01/2016 00:00:00;1.41553;1.4219;1.41251;1.41897;180890.16
21/01/2016 00:00:00;1.41897;1.42487;1.40793;1.42205;182887.47
22/01/2016 00:00:00;1.42205;1.43627;1.42045;1.42619;165523.02
25/01/2016 00:00:00;1.42652;1.43092;1.42233;1.42479;143344.99
26/01/2016 00:00:00;1.42475;1.43668;1.41729;1.43493;162007.87
27/01/2016 00:00:00;1.43488;1.43549;1.42297;1.42325;168707.37
28/01/2016 00:00:00;1.42324;1.44073;1.4231;1.43579;172944.69
29/01/2016 00:00:00;1.4358;1.4413;1.41491;1.42409;176709
01/02/2016 00:00:00;1.425;1.44447;1.42276;1.44311;166403.05
02/02/2016 00:00:00;1.44311;1.44456;1.43259;1.44076;165592.72
03/02/2016 00:00:00;1.44082;1.46488;1.43835;1.46004;194279.09
04/02/2016 00:00:00;1.46009;1.4668;1.45293;1.45878;195705.86
05/02/2016 00:00:00;1.45878;1.45912;1.44519;1.44999;174942.62
08/02/2016 00:00:00;1.44798;1.45467;1.43519;1.44313;189286.68
09/02/2016 00:00:00;1.44313;1.45152;1.4378;1.4469;219890.02
10/02/2016 00:00:00;1.4469;1.45783;1.44399;1.45209;196037.16
11/02/2016 00:00:00;1.45207;1.45633;1.43831;1.44753;215514.47
12/02/2016 00:00:00;1.44753;1.45695;1.44428;1.44996;184189.76
15/02/2016 00:00:00;1.45003;1.4535;1.44129;1.44317;145473.55
16/02/2016 00:00:00;1.44317;1.45158;1.42759;1.4302;168349.72
17/02/2016 00:00:00;1.43021;1.43387;1.42351;1.42876;177039.95
18/02/2016 00:00:00;1.42871;1.43944;1.42561;1.43328;171671.31
19/02/2016 00:00:00;1.43311;1.4408;1.42464;1.44014;173021.82
22/02/2016 00:00:00;1.42611;1.43056;1.4057;1.4149;188180.07
23/02/2016 00:00:00;1.41493;1.41556;1.40074;1.40212;171011.54
24/02/2016 00:00:00;1.40213;1.40273;1.38782;1.39246;188149.47
25/02/2016 00:00:00;1.3925;1.39961;1.38997;1.396;167187.7
26/02/2016 00:00:00;1.39598;1.40424;1.38535;1.3869;174325.1
29/02/2016 00:00:00;1.38556;1.39461;1.38358;1.39136;179922.04
01/03/2016 00:00:00;1.39136;1.40183;1.39039;1.39522;197684.45
02/03/2016 00:00:00;1.39522;1.40931;1.39142;1.40767;190881.43
03/03/2016 00:00:00;1.40769;1.41938;1.40326;1.41742;191225.01
04/03/2016 00:00:00;1.41739;1.42484;1.41073;1.4229;194325.16
07/03/2016 00:00:00;1.42158;1.42832;1.41337;1.42621;159248.45
08/03/2016 00:00:00;1.42621;1.42751;1.41734;1.42137;166642.47
09/03/2016 00:00:00;1.42136;1.42407;1.4177;1.42149;157387.11
10/03/2016 00:00:00;1.42143;1.43167;1.41178;1.42769;202793.74
11/03/2016 00:00:00;1.42769;1.44361;1.42543;1.43821;178883.22
13/03/2016 23:00:00;1.43647;1.4389;1.42923;1.43009;146581.35
14/03/2016 23:00:00;1.43005;1.43051;1.41389;1.41488;161048.83
15/03/2016 23:00:00;1.4149;1.42732;1.40526;1.42573;187831.68
16/03/2016 23:00:00;1.42553;1.4503;1.42213;1.44794;183124.16
17/03/2016 23:00:00;1.44794;1.45141;1.44101;1.4475;148377.55
20/03/2016 23:00:00;1.44339;1.44672;1.43649;1.43673;138689.58
21/03/2016 23:00:00;1.43675;1.43972;1.41903;1.42056;159735.19
22/03/2016 23:00:00;1.42057;1.4227;1.40816;1.41141;142537.11
23/03/2016 23:00:00;1.41141;1.41824;1.40568;1.41515;136258.37
24/03/2016 23:00:00;1.41516;1.41577;1.41083;1.41211;51341.98
27/03/2016 23:00:00;1.41273;1.42826;1.41199;1.42534;75765.31
28/03/2016 23:00:00;1.42536;1.44036;1.41945;1.43792;160966.76
29/03/2016 23:00:00;1.43792;1.44588;1.43605;1.43774;176959.43
30/03/2016 23:00:00;1.43773;1.44259;1.43256;1.43589;158278.97
31/03/2016 23:00:00;1.43603;1.43709;1.41705;1.42211;171890.58
03/04/2016 23:00:00;1.42201;1.43215;1.41906;1.42621;139679.06
04/04/2016 23:00:00;1.42626;1.42783;1.41216;1.41601;145594.46
05/04/2016 23:00:00;1.41596;1.41711;1.40048;1.41207;165841.26
06/04/2016 23:00:00;1.41204;1.41567;1.40488;1.40553;172754.82
07/04/2016 23:00:00;1.40555;1.41408;1.40403;1.41231;137795.4
10/04/2016 23:00:00;1.41132;1.42865;1.41048;1.42348;150070.36
11/04/2016 23:00:00;1.42351;1.43476;1.41962;1.42736;162936.17
12/04/2016 23:00:00;1.42736;1.4279;1.41928;1.42026;152072.74
13/04/2016 23:00:00;1.42026;1.42071;1.40903;1.41521;139525.21
14/04/2016 23:00:00;1.41517;1.42417;1.41325;1.41982;117885.56
17/04/2016 23:00:00;1.41969;1.42903;1.4131;1.42768;128439.67
18/04/2016 23:00:00;1.42768;1.44187;1.42702;1.43969;142672.69
19/04/2016 23:00:00;1.43954;1.44101;1.43296;1.43307;158056.51
20/04/2016 23:00:00;1.43303;1.44402;1.42992;1.43222;157790.13
21/04/2016 23:00:00;1.43222;1.44514;1.43134;1.43983;160022.76
24/04/2016 23:00:00;1.4462;1.45191;1.44025;1.44806;166786.11
25/04/2016 23:00:00;1.44798;1.46385;1.44788;1.45793;172853.96
26/04/2016 23:00:00;1.4579;1.46217;1.44728;1.45404;175987.7
27/04/2016 23:00:00;1.45396;1.46221;1.45225;1.46062;186865.44
