Time (CAT);Open;High;Low;Close;Volume 
06/12/2017 00:00:00;11776.2;13458.9;11694.8;13308.5;128122.32
07/12/2017 00:00:00;13328.7;16784.3;13328.2;16046;128114.09
08/12/2017 00:00:00;16042.3;17021.2;13864.9;15640.4;132579.9
11/12/2017 00:00:00;14574.1;17424;14524.1;17146.9;155410.98
12/12/2017 00:00:00;17146.5;17576.7;16292.9;17235.6;121184.2
13/12/2017 00:00:00;17233;17619.9;15741.1;16751;128028.54
14/12/2017 00:00:00;16750.5;17101;16029.3;16501.6;128088.8
15/12/2017 00:00:00;16514.1;17957.2;16281.9;17628.5;132441.77
18/12/2017 00:00:00;18980;19510.2;18117.9;18673.8;154743.1
19/12/2017 00:00:00;18673.8;19001.9;16728.1;16942.2;121102.71
20/12/2017 00:00:00;16922.8;17835.3;15785.9;16205;128619.84
21/12/2017 00:00:00;16206.5;17338.9;14852.9;15384.9;127739.98
22/12/2017 00:00:00;15388.8;15825.1;10772.3;14233.6;133195.7
25/12/2017 00:00:00;13123.1;14622.5;12973.3;13844.9;132840.07
26/12/2017 00:00:00;13757.1;16131.3;13665;15921.1;121084.85
27/12/2017 00:00:00;15920.6;16499.1;14604;15172.8;127909.58
28/12/2017 00:00:00;15186.6;15489.1;13497.5;13934.4;128034.07
29/12/2017 00:00:00;13939;15092.6;13920.3;14308.1;132903.64
01/01/2018 00:00:00;14308.1;14308.1;14308.1;14308.1;0
02/01/2018 00:00:00;13496.1;15196.7;12920.7;14727.9;121402
03/01/2018 00:00:00;14755.1;15373.7;14555.7;15017.6;128472
04/01/2018 00:00:00;15005.7;15366.9;14167.2;14894.4;127982
05/01/2018 00:00:00;14891.9;16880.2;14786.3;16781.9;132724
08/01/2018 00:00:00;16140;16408.4;13864.8;14895.7;128816
09/01/2018 00:00:00;14886.1;15321.2;14110.1;14490.6;106796
10/01/2018 00:00:00;14460.1;14649.1;13387.5;14443.9;120736
11/01/2018 00:00:00;14454;14913.8;12744.3;13415.7;111070
12/01/2018 00:00:00;13456.4;14065.6;12782.5;13697.2;110232
15/01/2018 00:00:00;13357.3;14273.5;13342.4;13854;103516
16/01/2018 00:00:00;13837.9;13872.8;10308.3;10648;95832
17/01/2018 00:00:00;10529.9;11720.7;9124.9;11332.8;115424
18/01/2018 00:00:00;11311.3;12007;10545.7;11473.3;152400
19/01/2018 00:00:00;11472.3;11885.3;10839.8;11309.5;180418
22/01/2018 00:00:00;11321.7;11831.9;9979.9;10301.9;190680
23/01/2018 00:00:00;10289.3;11338.4;9908.2;10931.8;201570
24/01/2018 00:00:00;10934.3;11444.7;10446.9;11165.8;171450
25/01/2018 00:00:00;11155.6;11662.4;10846.6;11200.8;148236
26/01/2018 00:00:00;11204.6;11564;10260.5;10847.4;90132.0208
29/01/2018 00:00:00;11725.4;11734.4;10994.6;11205.8;6.2738
30/01/2018 00:00:00;11190;11205.6;9755.9;10100.9;8.0322
31/01/2018 00:00:00;10095;10343.1;9584;9964.5;7.9079
01/02/2018 00:00:00;9956.6;10199.2;8600.5;9076.3;8.5231
02/02/2018 00:00:00;9084.5;9186.9;7563.5;8534.9;8.5823
05/02/2018 00:00:00;8017.5;8370.4;6540.6;7066.6;9.7605
06/02/2018 00:00:00;7097.5;7883.7;5881.5;7711.4;12.3997
07/02/2018 00:00:00;7714.8;8538.2;7139.6;8038.2;10.7736
08/02/2018 00:00:00;8030.9;8580.1;7487;8129.6;9.429
09/02/2018 00:00:00;8123.9;8676.7;7705.5;8505.4;8.2001
12/02/2018 00:00:00;8241.5;8854.3;7970.3;8783.9;205.3535
13/02/2018 00:00:00;8783.9;8927.9;8312.8;8499.9;813.75
14/02/2018 00:00:00;8511.1;9308.7;8430.1;9232.8;884.06
15/02/2018 00:00:00;9226.3;10162;9191.8;9812.8;973.78
16/02/2018 00:00:00;9849.5;10236.1;9645;10028.3;878.26
19/02/2018 00:00:00;10697.8;11193.6;10264.3;11027.3;903.69
20/02/2018 00:00:00;11048.9;11688.6;11002;11649.7;885.97
21/02/2018 00:00:00;11651.1;11716.2;10189.4;10220.1;1086.79
22/02/2018 00:00:00;10245.4;10869;9673.6;9846.6;1030.91
23/02/2018 00:00:00;9840;10353.2;9531.7;9860.1;1178.7425
26/02/2018 00:00:00;9535;10391.9;9323.2;10320.9;1327.3675
27/02/2018 00:00:00;10320.8;10800.9;10083.3;10701.2;1426.3075
28/02/2018 00:00:00;10703;11008.8;10333.5;10471.2;1369.51
01/03/2018 00:00:00;10478.9;11025.7;10169.7;10877.3;783.49
02/03/2018 00:00:00;10875.5;11118.2;10731.5;10970.2;771.34
05/03/2018 00:00:00;11367;11620.9;11280.5;11517.1;619.52
06/03/2018 00:00:00;11520.6;11564.4;10517.4;10740.1;725.34
07/03/2018 00:00:00;10740.2;10844.1;9389.6;9891.7;854
08/03/2018 00:00:00;9896.9;10064.1;9032.7;9295.8;858.33
09/03/2018 00:00:00;9284;9373.5;8336;9049;990.54
11/03/2018 23:00:00;9496.3;9855.1;8744.2;8977.1;702.79
12/03/2018 23:00:00;8978.3;9432.4;8809;9017.6;745.43
13/03/2018 23:00:00;9016.8;9309.8;8169.2;8266.3;724.65
14/03/2018 23:00:00;8266.4;8375.6;7633.1;8213.6;818.05
15/03/2018 23:00:00;8213.8;8560.3;7872.9;8485.6;717.62
18/03/2018 23:00:00;8159.4;8677.3;8011.9;8380.1;783.73
19/03/2018 23:00:00;8380.4;8958.1;8282;8839.1;974.14
20/03/2018 23:00:00;8839.3;9096.5;8680.8;8813.1;1567.5375
21/03/2018 23:00:00;8813.4;9011.9;8415.1;8521.1;1626.0225
22/03/2018 23:00:00;8521.3;8691.4;8213.1;8542.3;1523.5525
25/03/2018 23:00:00;8547;8569.5;7782.9;7813.7;1532.7025
26/03/2018 23:00:00;7816.9;8185.3;7668.6;7914.6;1921.3525
27/03/2018 23:00:00;7918.9;8023.9;7658.2;7824.4;1602.32
28/03/2018 23:00:00;7824.7;7924.2;7027;7027;1756.025
29/03/2018 23:00:00;7026.9;7250.3;6516.3;6793.4;2681.025
01/04/2018 23:00:00;6748.5;7041.1;6687.4;6858.8;1614.755
02/04/2018 23:00:00;6862.7;7435.2;6851.4;7328.6;1590.3725
